categoria,titular,enlace
mundo,(Análisis) México y la lucha contra el fentanilo,https://www.elespectador.com/mundo/america/analisis-mexico-y-la-lucha-contra-el-fentanilo-noticias-hoy/
economia,Mintrabajo y contralor piden construir un estatuto del trabajo,https://www.elespectador.com/economia/mintrabajo-y-contralor-piden-construir-un-estatuto-del-trabajo/
judicial,Investigarán a alcaldes de cuatro ciudades por hacinamiento,https://www.elespectador.com/judicial/investigaran-a-alcaldes-de-cuatro-ciudades-por-hacinamiento/
bogota,Desde Perú piden acelerar extradición de presunto feminicida detenido en Bogotá,https://www.elespectador.com/bogota/desde-peru-piden-acelerar-extradicion-de-presunto-feminicida-detenido-en-bogota/
ambiente,El elefante asiático ha perdido el 64% de sus hábitats durante 13 siglos,https://www.elespectador.com/ambiente/el-elefante-asiatico-ha-perdido-el-64-de-sus-habitats-durante-13-siglos-noticias-colombia-hoy/
politica,"Petro hará un balconazo el 1 de mayo, a pesar de una petición de Roy Barreras",https://www.elespectador.com/politica/petro-hara-un-balconazo-el-1-de-mayo-a-pesar-de-una-peticion-de-roy-barreras/
ambiente,"Se creía extinto, pero reapareció el jaguar en el río Cravo Sur, Casanare",https://www.elespectador.com/ambiente/se-creia-extinto-pero-reaparecio-el-jaguar-en-el-rio-cravo-sur-casanare-noticias-colombia-hoy/
mundo,“No es el momento de tener a Venezuela como invitado en la Filbo”: Goldberg,https://www.elespectador.com/mundo/america/no-es-el-momento-de-tener-a-venezuela-como-invitado-en-la-filbo-jacqueline-goldberg-noticias-hoy/
contenido-patrocinado,Guardianes de la selva: así funciona la tecnología que salva ecosistemas,https://www.elespectador.com/contenido-patrocinado/guardianes-de-la-selva-asi-funciona-la-tecnologia-que-salva-ecosistemas/
opinion,Petro desbarató su gobierno: ¿está DESESPERADO? | La Pulla,https://www.elespectador.com/opinion/columnistas/la-pulla/la-pulla-petro-desbarato-su-gobierno-esta-desesperado/
opinion,Campeones en los campos de algodón,https://www.elespectador.com/opinion/columnistas/javier-ortiz/campeones-en-los-campos-de-algodon/
opinion,La decadencia de Occidente,https://www.elespectador.com/opinion/columnistas/juan-manuel-ospina/la-decadencia-de-occidente-2/
opinion,Diez años de “El beso de los invisibles”,https://www.elespectador.com/opinion/columnistas/juan-david-zuloaga-d-/diez-anos-de-el-beso-de-los-invisibles/
contenido-patrocinado,El Programa Cajita Feliz Libros de McDonald’s está presente en la Filbo 2023,https://www.elespectador.com/contenido-patrocinado/el-programa-cajita-feliz-libros-de-mcdonalds-esta-presente-en-la-filbo-2023/
